Tanggal,Harga
1/4/2010,408000
1/5/2010,410000
1/6/2010,410000
1/7/2010,412000
1/8/2010,410000
1/11/2010,413000
1/12/2010,410000
1/13/2010,409000
1/14/2010,410000
1/15/2010,408000
1/18/2010,406000
1/19/2010,410000
1/20/2010,410000
1/21/2010,408000
1/22/2010,404000
1/25/2010,404000
1/26/2010,404000
1/27/2010,404000
1/28/2010,403000
1/29/2010,403000
2/1/2010,403000
2/2/2010,405000
2/3/2010,406000
2/4/2010,404000
2/5/2010,401000
2/8/2010,400000
2/9/2010,401000
2/10/2010,402000
2/11/2010,401000
2/12/2010,403000
2/15/2010,402000
2/16/2010,403000
2/17/2010,406000
2/18/2010,401000
2/19/2010,401000
2/22/2010,408000
2/23/2010,402000
2/24/2010,401000
2/25/2010,400000
3/1/2010,404000
3/2/2010,401000
3/3/2010,405000
3/4/2010,406000
3/5/2010,403000
3/8/2010,404000
3/9/2010,400000
3/10/2010,399000
3/11/2010,398000
3/12/2010,398000
3/15/2010,397000
3/17/2010,400000
3/18/2010,398000
3/22/2010,396000
3/23/2010,395000
3/24/2010,395000
3/25/2010,394000
3/26/2010,395000
3/29/2010,396000
3/30/2010,396000
3/31/2010,395000
4/1/2010,397000
4/5/2010,399000
4/6/2010,399000
4/6/2010,399000
4/7/2010,399000
4/8/2010,401000
4/9/2010,403000
4/12/2010,408000
4/13/2010,403000
4/14/2010,401000
4/15/2010,401000
4/16/2010,401000
4/19/2010,397000
4/20/2010,398000
4/21/2010,398000
4/22/2010,399000
4/23/2010,399000
4/26/2010,402000
4/27/2010,401000
4/28/2010,404000
4/29/2010,404000
4/30/2010,406000
5/3/2010,407000
5/4/2010,408000
5/5/2010,405000
5/6/2010,411000
5/7/2010,420000
5/7/2010,422000
5/7/2010,422000
5/10/2010,423000
5/10/2010,417000
5/11/2010,417000
5/12/2010,424000
5/14/2010,426000
5/17/2010,429000
5/18/2010,426000
5/19/2010,425000
5/20/2010,417000
5/21/2010,415000
5/24/2010,420000
5/25/2010,424000
5/26/2010,427000
5/27/2010,429000
5/31/2010,428000
6/1/2010,425000
6/2/2010,427000
6/3/2010,428000
6/3/2010,425000
6/4/2010,421000
6/7/2010,427000
6/8/2010,434000
6/9/2010,433000
6/10/2010,430000
6/11/2010,427000
6/14/2010,428000
6/15/2010,424000
6/16/2010,428000
6/17/2010,427000
6/18/2010,431000
6/21/2010,434000
6/22/2010,423000
6/23/2010,427000
6/24/2010,424000
6/25/2010,425000
6/28/2010,430000
6/29/2010,424000
6/30/2010,426000
7/1/2010,427000
7/2/2010,417000
7/2/2010,417000
7/5/2010,418000
7/6/2010,417000
7/7/2010,416000
7/8/2010,418000
7/9/2010,415000
7/12/2010,418000
7/13/2010,415000
7/14/2010,418000
7/15/2010,417000
7/16/2010,417000
7/19/2010,414000
7/20/2010,412000
7/21/2010,413000
7/22/2010,412000
7/23/2010,414000
7/26/2010,413000
7/27/2010,411000
7/28/2010,409000
7/29/2010,410000
7/30/2010,410000
8/2/2010,410000
8/3/2010,410000
8/4/2010,411000
8/5/2010,412000
8/6/2010,412000
8/9/2010,413000
8/10/2010,412000
8/11/2010,413000
8/12/2010,414000
8/13/2010,418000
8/16/2010,418000
8/18/2010,420000
8/19/2010,421000
8/20/2010,421000
8/23/2010,420000
8/24/2010,418000
8/25/2010,420000
8/26/2010,422000
8/27/2010,423000
8/30/2010,422000
8/31/2010,422000
9/1/2010,426000
9/2/2010,425000
9/3/2010,426000
9/6/2010,425000
9/7/2010,424000
9/8/2010,427000
9/14/2010,426000
9/15/2010,431000
9/16/2010,430000
9/17/2010,434000
9/20/2010,433000
9/21/2010,433000
9/22/2010,436000
9/23/2010,437000
9/24/2010,436000
9/27/2010,438000
9/28/2010,437000
9/29/2010,442000
9/30/2010,442000
10/1/2010,441000
10/4/2010,443000
10/5/2010,442000
10/6/2010,452000
10/7/2010,450000
10/7/2010,453000
10/8/2010,448000
10/11/2010,452000
10/12/2010,453000
10/13/2010,453000
10/14/2010,460000
10/15/2010,460000
10/18/2010,455000
10/19/2010,459000
10/20/2010,448000
10/21/2010,451000
10/22/2010,445000
10/25/2010,447000
10/26/2010,449000
10/27/2010,449000
10/28/2010,445000
10/29/2010,450000
11/1/2010,455000
11/2/2010,452000
11/4/2010,451000
11/5/2010,462000
11/8/2010,464000
11/9/2010,466000
11/10/2010,464000
11/11/2010,465000
11/12/2010,465000
11/15/2010,458000
11/16/2010,455000
11/18/2010,452000
11/19/2010,456000
11/22/2010,455000
11/23/2010,455000
11/24/2010,459000
11/25/2010,462000
11/26/2010,460000
11/29/2010,457000
11/30/2010,462000
12/1/2010,467000
12/1/2010,469000
12/1/2010,469000
12/2/2010,468000
12/3/2010,468000
12/6/2010,474000
12/8/2010,471000
12/9/2010,466000
12/10/2010,467000
12/13/2010,466000
12/14/2010,470000
12/15/2010,470000
12/16/2010,465000
12/17/2010,464000
12/20/2010,467000
12/21/2010,468000
12/22/2010,468000
12/23/2010,468000
12/27/2010,466000
12/28/2010,468000
12/29/2010,473000
12/30/2010,474000
12/31/2010,471000
1/3/2011,474000
1/4/2011,473000
1/5/2011,464000
1/6/2011,463000
1/7/2011,461000
1/10/2011,462000
1/11/2011,466000
1/12/2011,469000
1/13/2011,469000
1/14/2011,466000
1/17/2011,464000
1/18/2011,464000
1/19/2011,467000
1/20/2011,466000
1/21/2011,462000
1/24/2011,462000
1/25/2011,460000
1/26/2011,460000
1/27/2011,461000
1/28/2011,458000
1/31/2011,460000
1/31/2011,460000
2/1/2011,460000
2/2/2011,461000
2/4/2011,462000
2/7/2011,462000
2/8/2011,461000
2/9/2011,463000
2/10/2011,462000
2/11/2011,462000
2/14/2011,462000
2/16/2011,464000
2/17/2011,464000
2/18/2011,465000
2/18/2011,465000
2/21/2011,470000
2/22/2011,472000
2/23/2011,470000
2/24/2011,473000
2/25/2011,470000
2/28/2011,472000
3/1/2011,469000
3/2/2011,475000
3/3/2011,476000
3/4/2011,471000
3/7/2011,475000
3/8/2011,475000
3/9/2011,474000
3/10/2011,472000
3/10/2011,472000
3/11/2011,467000
3/14/2011,472000
3/15/2011,471000
3/16/2011,462000
3/16/2011,463000
3/17/2011,462000
3/18/2011,468000
3/21/2011,471000
3/22/2011,471000
3/23/2011,469000
3/24/2011,472000
3/25/2011,472000
3/28/2011,468000
3/29/2011,467000
3/30/2011,467000
3/31/2011,469000
4/1/2011,471000
4/4/2011,470000
4/5/2011,471000
4/6/2011,476000
4/7/2011,476000
4/8/2011,476000
4/11/2011,480000
4/12/2011,476000
4/13/2011,476000
4/14/2011,476000
4/15/2011,480000
4/18/2011,483000
4/19/2011,485000
4/20/2011,486000
4/21/2011,487000
4/25/2011,488000
4/25/2011,488000
4/26/2011,485000
4/27/2011,488000
4/28/2011,493000
4/29/2011,495000
5/2/2011,497000
5/3/2011,492000
5/4/2011,490000
5/5/2011,485000
5/6/2011,475000
5/9/2011,480000
5/10/2011,483000
5/11/2011,485000
5/12/2011,482000
5/13/2011,481000
5/16/2011,478000
5/18/2011,478000
5/19/2011,480000
5/20/2011,480000
5/23/2011,485000
5/24/2011,485000
5/25/2011,488000
5/26/2011,489000
5/27/2011,488000
5/30/2011,491000
5/30/2011,491000
5/31/2011,491000
6/1/2011,489000
6/6/2011,491000
6/7/2011,490000
6/8/2011,489000
6/9/2011,488000
6/10/2011,490000
6/13/2011,486000
6/14/2011,484000
6/15/2011,486000
6/16/2011,487000
6/17/2011,489000
6/20/2011,493000
6/21/2011,492000
6/22/2011,494000
6/23/2011,495000
6/24/2011,488000
6/27/2011,483000
6/28/2011,484000
6/30/2011,486000
7/1/2011,483000
7/4/2011,479000
7/5/2011,480000
7/6/2011,484000
7/7/2011,487000
7/8/2011,488000
7/11/2011,491000
7/12/2011,494000
7/13/2011,498000
7/14/2011,505000
7/15/2011,504000
7/18/2011,505000
7/19/2011,509000
7/20/2011,505000
7/21/2011,508000
7/22/2011,505000
7/25/2011,511000
7/26/2011,511000
7/27/2011,512000
7/28/2011,509000
7/29/2011,510000
