Tanggal,USD_IDR
2010-01-04,9364
2010-01-05,9305
2010-01-06,9218
2010-01-07,9272
2010-01-08,9213
2010-01-09,9191
2010-01-10,9170
2010-01-11,9148
2010-01-12,9171
2010-01-13,9141
2010-01-14,9156
2010-01-15,9226
2010-01-16,9227
2010-01-17,9228
2010-01-18,9229
2010-01-19,9230
2010-01-20,9295
2010-01-21,9183
2010-01-22,9240
2010-01-23,9267
2010-01-24,9293
2010-01-25,9320
2010-01-26,9380
2010-01-27,9400
2010-01-28,9325
2010-01-29,9250
2010-01-30,9252
2010-01-31,9254
2010-02-01,9256
2010-02-02,9314
2010-02-03,9365
2010-02-04,9387
2010-02-05,9468
2010-02-06,9474
2010-02-07,9479
2010-02-08,9484
2010-02-09,9339
2010-02-10,9314
2010-02-11,9330
2010-02-12,9324
2010-02-13,9316
2010-02-14,9308
2010-02-15,9301
2010-02-16,9293
2010-02-17,9401
2010-02-18,9500
2010-02-19,9292
2010-02-20,9289
2010-02-21,9285
2010-02-22,9282
2010-02-23,9342
2010-02-24,9352
2010-02-25,9335
2010-02-26,9348
2010-02-27,9360
2010-02-28,9373
2010-03-01,9385
2010-03-02,9184
2010-03-03,9149
2010-03-04,9329
2010-03-05,8898
2010-03-06,8992
2010-03-07,9086
2010-03-08,9180
2010-03-09,9173
2010-03-10,9170
2010-03-11,9153
2010-03-12,9145
2010-03-13,9165
2010-03-14,9186
2010-03-15,9206
2010-03-16,9153
2010-03-17,9100
2010-03-18,9120
2010-03-19,9119
2010-03-20,9118
2010-03-21,9117
2010-03-22,9115
2010-03-23,9145
2010-03-24,9115
2010-03-25,9133
2010-03-26,9113
2010-03-27,9100
2010-03-28,9086
2010-03-29,9073
2010-03-30,9075
2010-03-31,9103
2010-04-01,9041
2010-04-02,9044
2010-04-03,9047
2010-04-04,9050
2010-04-05,9053
2010-04-06,9037
2010-04-07,9054
2010-04-08,9058
2010-04-09,8993
2010-04-10,8999
2010-04-11,9005
2010-04-12,9011
2010-04-13,9010
2010-04-14,9011
2010-04-15,9001
2010-04-16,9006
2010-04-17,9010
2010-04-18,9013
2010-04-19,9016
2010-04-20,9018
2010-04-21,9023
2010-04-22,9104
2010-04-23,9004
2010-04-24,8990
2010-04-25,8976
2010-04-26,8962
2010-04-27,9096
2010-04-28,9022
2010-04-29,9002
2010-04-30,9029
2010-05-01,9026
2010-05-02,9024
2010-05-03,9021
2010-05-04,9070
2010-05-05,9116
2010-05-06,9273
2010-05-07,9220
2010-05-08,9215
2010-05-09,9209
2010-05-10,9203
2010-05-11,9187
2010-05-12,9179
2010-05-13,9142
2010-05-14,9104
2010-05-15,9096
2010-05-16,9087
2010-05-17,9079
2010-05-18,9284
2010-05-19,9124
2010-05-20,9121
2010-05-21,9261
2010-05-22,9268
2010-05-23,9275
2010-05-24,9282
2010-05-25,9284
2010-05-26,9376
2010-05-27,9215
2010-05-28,9221
2010-05-29,9227
2010-05-30,9233
2010-05-31,9239
2010-06-01,9245
2010-06-02,9242
2010-06-03,9238
2010-06-04,9283
2010-06-05,9294
2010-06-06,9306
2010-06-07,9318
2010-06-08,9223
2010-06-09,9281
2010-06-10,9193
2010-06-11,9197
2010-06-12,9199
2010-06-13,9202
2010-06-14,9205
2010-06-15,9141
2010-06-16,9163
2010-06-17,9143
2010-06-18,9072
2010-06-19,9047
2010-06-20,9022
2010-06-21,8998
2010-06-22,9012
2010-06-23,8980
2010-06-24,9066
